,DPCP_AA_Rise (RNA),DPCP_AC_Rise (RNA),DPCP_AG_Rise (RNA),DPCP_AT_Rise (RNA),DPCP_CA_Rise (RNA),DPCP_CC_Rise (RNA),DPCP_CG_Rise (RNA),DPCP_CT_Rise (RNA),DPCP_GA_Rise (RNA),DPCP_GC_Rise (RNA),DPCP_GG_Rise (RNA),DPCP_GT_Rise (RNA),DPCP_TA_Rise (RNA),DPCP_TC_Rise (RNA),DPCP_TG_Rise (RNA),DPCP_TT_Rise (RNA),DPCP_AA_Roll (RNA),DPCP_AC_Roll (RNA),DPCP_AG_Roll (RNA),DPCP_AT_Roll (RNA),DPCP_CA_Roll (RNA),DPCP_CC_Roll (RNA),DPCP_CG_Roll (RNA),DPCP_CT_Roll (RNA),DPCP_GA_Roll (RNA),DPCP_GC_Roll (RNA),DPCP_GG_Roll (RNA),DPCP_GT_Roll (RNA),DPCP_TA_Roll (RNA),DPCP_TC_Roll (RNA),DPCP_TG_Roll (RNA),DPCP_TT_Roll (RNA),DPCP_AA_Shift (RNA),DPCP_AC_Shift (RNA),DPCP_AG_Shift (RNA),DPCP_AT_Shift (RNA),DPCP_CA_Shift (RNA),DPCP_CC_Shift (RNA),DPCP_CG_Shift (RNA),DPCP_CT_Shift (RNA),DPCP_GA_Shift (RNA),DPCP_GC_Shift (RNA),DPCP_GG_Shift (RNA),DPCP_GT_Shift (RNA),DPCP_TA_Shift (RNA),DPCP_TC_Shift (RNA),DPCP_TG_Shift (RNA),DPCP_TT_Shift (RNA),DPCP_AA_Slide (RNA),DPCP_AC_Slide (RNA),DPCP_AG_Slide (RNA),DPCP_AT_Slide (RNA),DPCP_CA_Slide (RNA),DPCP_CC_Slide (RNA),DPCP_CG_Slide (RNA),DPCP_CT_Slide (RNA),DPCP_GA_Slide (RNA),DPCP_GC_Slide (RNA),DPCP_GG_Slide (RNA),DPCP_GT_Slide (RNA),DPCP_TA_Slide (RNA),DPCP_TC_Slide (RNA),DPCP_TG_Slide (RNA),DPCP_TT_Slide (RNA),DPCP_AA_Tilt (RNA),DPCP_AC_Tilt (RNA),DPCP_AG_Tilt (RNA),DPCP_AT_Tilt (RNA),DPCP_CA_Tilt (RNA),DPCP_CC_Tilt (RNA),DPCP_CG_Tilt (RNA),DPCP_CT_Tilt (RNA),DPCP_GA_Tilt (RNA),DPCP_GC_Tilt (RNA),DPCP_GG_Tilt (RNA),DPCP_GT_Tilt (RNA),DPCP_TA_Tilt (RNA),DPCP_TC_Tilt (RNA),DPCP_TG_Tilt (RNA),DPCP_TT_Tilt (RNA),DPCP_AA_Twist (RNA),DPCP_AC_Twist (RNA),DPCP_AG_Twist (RNA),DPCP_AT_Twist (RNA),DPCP_CA_Twist (RNA),DPCP_CC_Twist (RNA),DPCP_CG_Twist (RNA),DPCP_CT_Twist (RNA),DPCP_GA_Twist (RNA),DPCP_GC_Twist (RNA),DPCP_GG_Twist (RNA),DPCP_GT_Twist (RNA),DPCP_TA_Twist (RNA),DPCP_TC_Twist (RNA),DPCP_TG_Twist (RNA),DPCP_TT_Twist (RNA)
A1_26,0.2544,0.25920000000000004,0.132,0.25920000000000004,0.0618,0.332,0.066,0.19799999999999998,0.20279999999999998,0.0,0.0664,0.32400000000000007,0.45640000000000003,0.0676,0.2472,0.31800000000000006,0.56,0.384,0.34,0.568,0.198,0.87,0.242,0.51,0.564,0.0,0.242,0.48,1.498,0.188,0.792,0.7000000000000001,-0.0064,0.0184,-0.0016,-0.0048,0.0022,-0.001,0.006,-0.0024,0.004200000000000001,0.0,-0.0002,0.023000000000000003,-0.0028000000000000004,0.0014000000000000002,0.0088,-0.008,-0.10160000000000001,-0.1144,-0.06,-0.10880000000000001,-0.0292,-0.17800000000000002,-0.0378,-0.09,-0.102,-0.0,-0.0356,-0.143,-0.203,-0.034,-0.1168,-0.127,-0.064,0.064,0.02,0.08800000000000001,0.02,0.03,-0.002,0.03,0.078,0.0,0.006,0.08000000000000002,-0.028000000000000004,0.026000000000000002,0.08,-0.08000000000000002,2.48,2.56,1.2,2.64,0.62,3.2,0.54,1.7999999999999998,1.92,0.0,0.64,3.2,4.48,0.64,2.48,3.1
A1_29,0.2544,0.19440000000000002,0.132,0.32400000000000007,0.0618,0.332,0.066,0.19799999999999998,0.20279999999999998,0.0,0.0664,0.32400000000000007,0.39119999999999994,0.0676,0.309,0.31800000000000006,0.56,0.288,0.34,0.71,0.198,0.87,0.242,0.51,0.564,0.0,0.242,0.48,1.2839999999999998,0.188,0.9900000000000001,0.7000000000000001,-0.0064,0.0138,-0.0016,-0.006,0.0022,-0.001,0.006,-0.0024,0.004200000000000001,0.0,-0.0002,0.023000000000000003,-0.0024,0.0014000000000000002,0.011000000000000001,-0.008,-0.10160000000000001,-0.08579999999999999,-0.06,-0.136,-0.0292,-0.17800000000000002,-0.0378,-0.09,-0.102,-0.0,-0.0356,-0.143,-0.174,-0.034,-0.146,-0.127,-0.064,0.048,0.02,0.11000000000000001,0.02,0.03,-0.002,0.03,0.078,0.0,0.006,0.08000000000000002,-0.024,0.026000000000000002,0.1,-0.08000000000000002,2.48,1.92,1.2,3.3000000000000003,0.62,3.2,0.54,1.7999999999999998,1.92,0.0,0.64,3.2,3.84,0.64,3.1,3.1
A1_30,0.2544,0.19440000000000002,0.132,0.32400000000000007,0.0,0.332,0.066,0.19799999999999998,0.20279999999999998,0.0,0.0664,0.32400000000000007,0.39119999999999994,0.0676,0.37079999999999996,0.31800000000000006,0.56,0.288,0.34,0.71,0.0,0.87,0.242,0.51,0.564,0.0,0.242,0.48,1.2839999999999998,0.188,1.188,0.7000000000000001,-0.0064,0.0138,-0.0016,-0.006,0.0,-0.001,0.006,-0.0024,0.004200000000000001,0.0,-0.0002,0.023000000000000003,-0.0024,0.0014000000000000002,0.0132,-0.008,-0.10160000000000001,-0.08579999999999999,-0.06,-0.136,-0.0,-0.17800000000000002,-0.0378,-0.09,-0.102,-0.0,-0.0356,-0.143,-0.174,-0.034,-0.1752,-0.127,-0.064,0.048,0.02,0.11000000000000001,0.0,0.03,-0.002,0.03,0.078,0.0,0.006,0.08000000000000002,-0.024,0.026000000000000002,0.12,-0.08000000000000002,2.48,1.92,1.2,3.3000000000000003,0.0,3.2,0.54,1.7999999999999998,1.92,0.0,0.64,3.2,3.84,0.64,3.7199999999999998,3.1
A1_35,0.31800000000000006,0.19440000000000002,0.19799999999999998,0.19440000000000002,0.0,0.332,0.066,0.19799999999999998,0.338,0.0,0.0664,0.32400000000000007,0.326,0.0676,0.37079999999999996,0.2544,0.7000000000000001,0.288,0.51,0.426,0.0,0.87,0.242,0.51,0.9400000000000001,0.0,0.242,0.48,1.07,0.188,1.188,0.56,-0.008,0.0138,-0.0024,-0.0036,0.0,-0.001,0.006,-0.0024,0.007000000000000001,0.0,-0.0002,0.023000000000000003,-0.002,0.0014000000000000002,0.0132,-0.0064,-0.127,-0.08579999999999999,-0.09,-0.0816,-0.0,-0.17800000000000002,-0.0378,-0.09,-0.17,-0.0,-0.0356,-0.143,-0.145,-0.034,-0.1752,-0.10160000000000001,-0.08000000000000002,0.048,0.03,0.066,0.0,0.03,-0.002,0.03,0.13,0.0,0.006,0.08000000000000002,-0.020000000000000004,0.026000000000000002,0.12,-0.064,3.1,1.92,1.7999999999999998,1.98,0.0,3.2,0.54,1.7999999999999998,3.2,0.0,0.64,3.2,3.2,0.64,3.7199999999999998,2.48
A1_38,0.5088,0.19440000000000002,0.19799999999999998,0.19440000000000002,0.0,0.332,0.066,0.19799999999999998,0.2704,0.0,0.0,0.32400000000000007,0.326,0.0676,0.309,0.2544,1.12,0.288,0.51,0.426,0.0,0.87,0.242,0.51,0.752,0.0,0.0,0.48,1.07,0.188,0.9900000000000001,0.56,-0.0128,0.0138,-0.0024,-0.0036,0.0,-0.001,0.006,-0.0024,0.005600000000000001,0.0,-0.0,0.023000000000000003,-0.002,0.0014000000000000002,0.011000000000000001,-0.0064,-0.20320000000000002,-0.08579999999999999,-0.09,-0.0816,-0.0,-0.17800000000000002,-0.0378,-0.09,-0.136,-0.0,-0.0,-0.143,-0.145,-0.034,-0.146,-0.10160000000000001,-0.128,0.048,0.03,0.066,0.0,0.03,-0.002,0.03,0.10400000000000001,0.0,0.0,0.08000000000000002,-0.020000000000000004,0.026000000000000002,0.1,-0.064,4.96,1.92,1.7999999999999998,1.98,0.0,3.2,0.54,1.7999999999999998,2.56,0.0,0.0,3.2,3.2,0.64,3.1,2.48
A1_39,0.5088,0.19440000000000002,0.19799999999999998,0.19440000000000002,0.0,0.332,0.066,0.19799999999999998,0.2704,0.0,0.0,0.32400000000000007,0.326,0.0676,0.309,0.2544,1.12,0.288,0.51,0.426,0.0,0.87,0.242,0.51,0.752,0.0,0.0,0.48,1.07,0.188,0.9900000000000001,0.56,-0.0128,0.0138,-0.0024,-0.0036,0.0,-0.001,0.006,-0.0024,0.005600000000000001,0.0,-0.0,0.023000000000000003,-0.002,0.0014000000000000002,0.011000000000000001,-0.0064,-0.20320000000000002,-0.08579999999999999,-0.09,-0.0816,-0.0,-0.17800000000000002,-0.0378,-0.09,-0.136,-0.0,-0.0,-0.143,-0.145,-0.034,-0.146,-0.10160000000000001,-0.128,0.048,0.03,0.066,0.0,0.03,-0.002,0.03,0.10400000000000001,0.0,0.0,0.08000000000000002,-0.020000000000000004,0.026000000000000002,0.1,-0.064,4.96,1.92,1.7999999999999998,1.98,0.0,3.2,0.54,1.7999999999999998,2.56,0.0,0.0,3.2,3.2,0.64,3.1,2.48
A1_47,0.5088,0.12960000000000002,0.19799999999999998,0.25920000000000004,0.0618,0.332,0.0,0.19799999999999998,0.20279999999999998,0.0,0.0,0.32400000000000007,0.326,0.1352,0.309,0.2544,1.12,0.192,0.51,0.568,0.198,0.87,0.0,0.51,0.564,0.0,0.0,0.48,1.07,0.376,0.9900000000000001,0.56,-0.0128,0.0092,-0.0024,-0.0048,0.0022,-0.001,0.0,-0.0024,0.004200000000000001,0.0,-0.0,0.023000000000000003,-0.002,0.0028000000000000004,0.011000000000000001,-0.0064,-0.20320000000000002,-0.0572,-0.09,-0.10880000000000001,-0.0292,-0.17800000000000002,-0.0,-0.09,-0.102,-0.0,-0.0,-0.143,-0.145,-0.068,-0.146,-0.10160000000000001,-0.128,0.032,0.03,0.08800000000000001,0.02,0.03,-0.0,0.03,0.078,0.0,0.0,0.08000000000000002,-0.020000000000000004,0.052000000000000005,0.1,-0.064,4.96,1.28,1.7999999999999998,2.64,0.62,3.2,0.0,1.7999999999999998,1.92,0.0,0.0,3.2,3.2,1.28,3.1,2.48
A1_51,0.5088,0.12960000000000002,0.19799999999999998,0.32400000000000007,0.1236,0.2656,0.0,0.132,0.20279999999999998,0.0,0.0664,0.32400000000000007,0.2608,0.1352,0.37079999999999996,0.1908,1.12,0.192,0.51,0.71,0.396,0.696,0.0,0.34,0.564,0.0,0.242,0.48,0.856,0.376,1.188,0.42,-0.0128,0.0092,-0.0024,-0.006,0.0044,-0.0008,0.0,-0.0016,0.004200000000000001,0.0,-0.0002,0.023000000000000003,-0.0016,0.0028000000000000004,0.0132,-0.0048,-0.20320000000000002,-0.0572,-0.09,-0.136,-0.0584,-0.1424,-0.0,-0.06,-0.102,-0.0,-0.0356,-0.143,-0.11599999999999999,-0.068,-0.1752,-0.0762,-0.128,0.032,0.03,0.11000000000000001,0.04,0.024,-0.0,0.02,0.078,0.0,0.006,0.08000000000000002,-0.016,0.052000000000000005,0.12,-0.048,4.96,1.28,1.7999999999999998,3.3000000000000003,1.24,2.56,0.0,1.2,1.92,0.0,0.64,3.2,2.56,1.28,3.7199999999999998,1.8599999999999999
A1_56,0.5724,0.12960000000000002,0.19799999999999998,0.25920000000000004,0.1236,0.2656,0.0,0.132,0.338,0.0,0.0664,0.25920000000000004,0.19559999999999997,0.1352,0.37079999999999996,0.1908,1.26,0.192,0.51,0.568,0.396,0.696,0.0,0.34,0.9400000000000001,0.0,0.242,0.384,0.6419999999999999,0.376,1.188,0.42,-0.0144,0.0092,-0.0024,-0.0048,0.0044,-0.0008,0.0,-0.0016,0.007000000000000001,0.0,-0.0002,0.0184,-0.0012,0.0028000000000000004,0.0132,-0.0048,-0.2286,-0.0572,-0.09,-0.10880000000000001,-0.0584,-0.1424,-0.0,-0.06,-0.17,-0.0,-0.0356,-0.1144,-0.087,-0.068,-0.1752,-0.0762,-0.144,0.032,0.03,0.08800000000000001,0.04,0.024,-0.0,0.02,0.13,0.0,0.006,0.064,-0.012,0.052000000000000005,0.12,-0.048,5.58,1.28,1.7999999999999998,2.64,1.24,2.56,0.0,1.2,3.2,0.0,0.64,2.56,1.92,1.28,3.7199999999999998,1.8599999999999999
A1_58,0.5724,0.12960000000000002,0.264,0.25920000000000004,0.1236,0.2656,0.0,0.132,0.338,0.0,0.1328,0.25920000000000004,0.19559999999999997,0.1352,0.309,0.1272,1.26,0.192,0.68,0.568,0.396,0.696,0.0,0.34,0.9400000000000001,0.0,0.484,0.384,0.6419999999999999,0.376,0.9900000000000001,0.28,-0.0144,0.0092,-0.0032,-0.0048,0.0044,-0.0008,0.0,-0.0016,0.007000000000000001,0.0,-0.0004,0.0184,-0.0012,0.0028000000000000004,0.011000000000000001,-0.0032,-0.2286,-0.0572,-0.12,-0.10880000000000001,-0.0584,-0.1424,-0.0,-0.06,-0.17,-0.0,-0.0712,-0.1144,-0.087,-0.068,-0.146,-0.050800000000000005,-0.144,0.032,0.04,0.08800000000000001,0.04,0.024,-0.0,0.02,0.13,0.0,0.012,0.064,-0.012,0.052000000000000005,0.1,-0.032,5.58,1.28,2.4,2.64,1.24,2.56,0.0,1.2,3.2,0.0,1.28,2.56,1.92,1.28,3.1,1.24
A1_59,0.5724,0.12960000000000002,0.264,0.25920000000000004,0.1236,0.2656,0.0,0.132,0.338,0.0644,0.1328,0.19440000000000002,0.19559999999999997,0.1352,0.309,0.1272,1.26,0.192,0.68,0.568,0.396,0.696,0.0,0.34,0.9400000000000001,0.122,0.484,0.288,0.6419999999999999,0.376,0.9900000000000001,0.28,-0.0144,0.0092,-0.0032,-0.0048,0.0044,-0.0008,0.0,-0.0016,0.007000000000000001,0.0014000000000000002,-0.0004,0.0138,-0.0012,0.0028000000000000004,0.011000000000000001,-0.0032,-0.2286,-0.0572,-0.12,-0.10880000000000001,-0.0584,-0.1424,-0.0,-0.06,-0.17,-0.0278,-0.0712,-0.08579999999999999,-0.087,-0.068,-0.146,-0.050800000000000005,-0.144,0.032,0.04,0.08800000000000001,0.04,0.024,-0.0,0.02,0.13,0.0,0.012,0.048,-0.012,0.052000000000000005,0.1,-0.032,5.58,1.28,2.4,2.64,1.24,2.56,0.0,1.2,3.2,0.7000000000000001,1.28,1.92,1.92,1.28,3.1,1.24
A1_60,0.5724,0.12960000000000002,0.264,0.25920000000000004,0.1236,0.332,0.0,0.132,0.338,0.0644,0.1328,0.19440000000000002,0.1304,0.1352,0.309,0.1272,1.26,0.192,0.68,0.568,0.396,0.87,0.0,0.34,0.9400000000000001,0.122,0.484,0.288,0.428,0.376,0.9900000000000001,0.28,-0.0144,0.0092,-0.0032,-0.0048,0.0044,-0.001,0.0,-0.0016,0.007000000000000001,0.0014000000000000002,-0.0004,0.0138,-0.0008,0.0028000000000000004,0.011000000000000001,-0.0032,-0.2286,-0.0572,-0.12,-0.10880000000000001,-0.0584,-0.17800000000000002,-0.0,-0.06,-0.17,-0.0278,-0.0712,-0.08579999999999999,-0.057999999999999996,-0.068,-0.146,-0.050800000000000005,-0.144,0.032,0.04,0.08800000000000001,0.04,0.03,-0.0,0.02,0.13,0.0,0.012,0.048,-0.008,0.052000000000000005,0.1,-0.032,5.58,1.28,2.4,2.64,1.24,3.2,0.0,1.2,3.2,0.7000000000000001,1.28,1.92,1.28,1.28,3.1,1.24
